_01_category,_02_state,_03_branch_name,_04_address,_07_google_map_url,_08_bank_data_url,_09_bank_type,_11_mother_bank_name
Local Bank,Selangor,AFFIN Ampang Jaya,"No 11 & 11A, Jalan Mamanda 7/1, Ampang Point, 68000 Ampang, Selangor",https://goo.gl/maps/SwgL2SiHhRQXnCiR9,https://www.affinalways.com/en/branch-locator,AFFIN Branch,Affin
Local Bank,Selangor,AFFIN Kinrara,"No 1, Jalan TK1/11A,  Taman Kinrara, Section 1,  Batu 7 1/2, Jalan Puchong,  47100 Puchong, Selangor",https://goo.gl/maps/95VWPYox8ob9YXTW8,https://www.affinalways.com/en/branch-locator,AFFIN Branch,Affin
Local Bank,Selangor,AFFIN PJ State,"No. 38 & 40, Jalan Yong Shook Lin,  46050 Petaling Jaya, Selangor",https://goo.gl/maps/Bc9nPo8mAGeaCZmN8,https://www.affinalways.com/en/branch-locator,AFFIN Branch,Affin
Local Bank,Selangor,AFFIN Kepong,"No. 6, Jalan 54, Desa Jaya,  52100 Kepong, Selangor",https://goo.gl/maps/yoHkFMek8eE2EQDb9,https://www.affinalways.com/en/branch-locator,AFFIN Branch,Affin
Local Bank,Selangor,AFFIN Ampang New Village,"No 21G & 23G, Jalan Wawasan 2/2, Bandar Baru Ampang, 68000 Ampang, Selangor",https://goo.gl/maps/kjgFrZXHjT2Bek397,https://www.affinalways.com/en/branch-locator,AFFIN Branch,Affin
Local Bank,Selangor,AFFIN Kota Kemuning,"No 15-1 & 17-1 (GF), No. 8 Jalan Anggerik Vanilla BE 31/BE, Kota Kemuning Seksyen 31,  40460 Shah Alam, Selangor",https://goo.gl/maps/nqL8AzTmk3FDNRjn8,https://www.affinalways.com/en/branch-locator,AFFIN Branch,Affin
Local Bank,Selangor,AFFIN Bandar Bukit Tinggi,"No. 77 & 79 Jalan Batu Nilam 5, Bandar Bukit Tinggi, 41200 Klang, Selangor",https://goo.gl/maps/3RLMWvsm55xiRARr7,https://www.affinalways.com/en/branch-locator,AFFIN Branch,Affin
Local Bank,Selangor,AFFIN USJ Taipan,"No 8A & 8B,  Jalan USJ 10/1j,  Taipan Business Centre,  47620 Subang Jaya, Selangor",https://goo.gl/maps/NmtCaZq5PLSGe2qj9,https://www.affinalways.com/en/branch-locator,AFFIN Branch,Affin
Local Bank,Selangor,AFFIN Puchong,"No 12A, Jalan Puteri 1/1 Bandar Puteri Puchong  47100 Puchong, Selangor",https://goo.gl/maps/draKeWm6mFH6SLob9,https://www.affinalways.com/en/branch-locator,AFFIN Branch,Affin
Local Bank,Selangor,AFFIN Jalan Meru,"No. 38 & 40, Pelangi Avenue,  Jalan Kelicap 42A/KU1,  Klang Bandar Diraja,  41050 Klang, Selangor",https://goo.gl/maps/HqEjqxQcrj4zHgr67,https://www.affinalways.com/en/branch-locator,AFFIN Branch,Affin
Local Bank,Selangor,AFFIN Cyberjaya,"P1-13, Shaftsbury Square,  Lot No. 2350, Cyber 6,  Persiaran Multimedia,  63000 Cyberjaya, Selangor",https://goo.gl/maps/a1cvak3btKLpj3zB6,https://www.affinalways.com/en/branch-locator,AFFIN Branch,Affin
Local Bank,Selangor,AFFIN UiTM,"Universiti Teknologi Mara, Level 2,  Menara Sultan Abdul Aziz Shah,  40450 Shah Alam, Selangor",https://goo.gl/maps/u4CE4uVfy1GNvKQP6,https://www.affinalways.com/en/branch-locator,AFFIN Branch,Affin
Local Bank,Selangor,AFFIN Subang Jaya,"No. 7 & 9, Jalan SS 15/8A,  47500 Subang Jaya, Selangor",https://goo.gl/maps/wCJ4doEJrZDa1y357,https://www.affinalways.com/en/branch-locator,AFFIN Branch,Affin
Local Bank,Selangor,AFFIN Sea Park,"No. 20 - 22, Jalan 21/12, Sea Park,  46300 Petaling Jaya, Selangor",https://goo.gl/maps/adzafn2gz6tZMNtn9,https://www.affinalways.com/en/branch-locator,AFFIN Branch,Affin
Local Bank,Selangor,AFFIN Kota Damansara,"No. B-G-19, 20 & 21 (GF), Dataran Cascades, Jalan PJU 5/1, Kota Damasara PJU 5 47810 Petaling Jaya, Selangor.",https://goo.gl/maps/eHGSTpV2PY17SWnAA,https://www.affinalways.com/en/branch-locator,AFFIN Branch,Affin
Local Bank,Selangor,AFFIN Denai Alam,"No 1, Ground Floor, Jalan Elektron U16/J, Seksyen U 16, Denai Alam, 40160 Shah Alam, Selangor",https://goo.gl/maps/JWi4UisGmowTUBqR8,https://www.affinalways.com/en/branch-locator,AFFIN Branch,Affin
Local Bank,Selangor,AFFIN The Curve,"The Curve Shopping Complex,  Jln PJU 7/8, Mutiara Damansara,  47820 PJ, Selangor",https://goo.gl/maps/ayoy8gwYHFdcrpix7,https://www.affinalways.com/en/branch-locator,AFFIN Branch,Affin
