_01_category,_02_state,_03_branch_name,_04_address,_07_google_map_url,_08_bank_data_url,_09_bank_type,_11_mother_bank_name
Local Bank,Selangor,AMCORP MALL,"NO. 18, G-01, BLOK A, MENARA PJ, JALAN PERSIARAN BARAT, OFF JALAN TIMUR,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,AMPANG POINT,"LOT 1A, JALAN MAMANDA 7, AMPANG POINT, 4 1/2 MILE,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,BALAKONG,"S-13, TAMAN INDAH, BATU 11,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,BANDAR BARU BANGI,"NO 43-G-01 & 43A-G-01, JALAN MEDAN PB 2B, SEKSYEN 9, PUSAT BANDAR BARU BANGI,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,BANDAR BARU RAWANG,"NO. 13 & 14, JALAN IPOH, BATU 18, BANDAR BARU RAWANG,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,BANDAR BARU SUNGAI BULOH,"NO. 338 & 389 JALAN 1A/1, BANDAR BARU SUNGAI BULOH, SEKSYEN U20,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,BANDAR BUKIT TINGGI ,"NO. 37 & 39, LORONG BATU NILAM 1A, BANDAR BUKIT TINGGI,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,BANDAR MAHKOTA CHERAS,"NO. 36 & 38, JALAN TEMENGGUNG 1/9, BANDAR MAHKOTA CHERAS,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,BANDAR PUTERI PUCHONG," NO. 4 & 6, GROUND FLOOR, JALAN PUTERI 1/1, BANDAR PUTERI,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,BANDAR SUNWAY,"NO. 12, JALAN PJS 11/28, PJS 11,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,BANTING,"NO. 139 & 141,WISMA MUTIARA, JALAN SULTAN ABDUL SAMAD,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,BESTARI JAYA,"NO. 28B, JALAN BESAR,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,DAMANSARA UTAMA,"NO. 56, 58 & 60G, JALAN SS 21/35, DAMANSARA UTAMA,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,KAJANG,"NO. 6 & 7, JALAN S10/1, OFF JALAN BUKIT, SECTION 10,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,KELANA JAYA (PARKVIEW),"UNIT E102 & 103, GROUND FLOOR, KELANA PARKVIEW, NO. 1, JALAN SS6/2, KELANA JAYA,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,KLANG - BANDAR PUTERI,"GROUND FLOOR, NO. 1, LORONG SANGGUL 1F, BANDAR PUTERI KLANG,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,KLANG - PERSIARAAN SULTAN IBRAHIM,"WISMA SH NG, NO. 42 - 44, PERSIARAN SULTAN IBRAHIM",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,KOTA DAMANSARA,"NO. 23 & 25, BLOK T, JALAN PJU 5/3, DATARAN SUNWAY, KOTA DAMANSARA,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,KOTA KEMUNING,"NO 1-1, JALAN ANGGERIK VANILLA BE31/BE, KOTA KEMUNING, SEKSYEN 31,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,PETALING JAYA-NEW TOWN,"NO. 6, ROAD 52/4, NEW TOWN CENTRE,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,PETALING JAYA-SS2,"NO. 30, 32 & 34, JALAN SS2/61,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,PORT KLANG - WISMA PALMBASE,"NO. 2998G, WISMA PALMBASE, PERSIARAN RAJA MUDA MUSA,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,PUCHONG -TAMAN KINRARA,"NO. 14A & 15A, JALAN TK 1/11A, TAMAN KINRARA, SEKSYEN 1, BATU 7 1/2,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,RAWANG COUNTRY HOMES,"NO. 51, 53 & 55, JALAN PUSAT BCH 1A, BANDAR COUNTRY HOMES,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,SEMENYIH,"NO. 43-G & 45-G, GROUND FLOOR, JALAN SEMENYIH SENTRAL 1,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,SEPANG,"NO. 56, JALAN BESAR",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,SERI KEMBANGAN,"NO. 7 & 9 JALAN PERUSAHAAN 2, OFF JALAN KOLEJ, TAMAN JINMA,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,SETIA ALAM,"NO. 15 & 17, JALAN SETIA PRIMA RU13/R, SETIA ALAM, SEKSYEN U/13,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,SHAH ALAM - SEC 13,"GROUND FLOOR, LOT 13-1 & LOT 14-1, GROUND FLOOR, LAMAN SERI BUSINESS PARK, SEKSYEN 13,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,SHAH ALAM - SEC 15,"NO. 47 & 49, JALAN UTAS B/15B, SECTION 15B,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,SUBANG JAYA,"LOT NO. A6 & A7, JALAN SS15/4D,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,SUBANG NEW VILLAGE,"NO.8A, LEBUH RAYA B, SUBANG NEW VILLAGE,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,SUNGAI BESAR,"NO. 58E, JALAN MAHSURI,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,USJ,"NO. 24, JALAN USJ 10/1, USJ TAIPAN TRIANGLE,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
Local Bank,Selangor,USJ SENTRAL,"NO 5 & 7, JALAN USJ SENTRAL 2, USJ SENTRAL,",,https://www.ambankgroup.com/eng/locator/Pages/Branch.aspx,Branches,AmBank Group
