_01_category,_02_state,_03_branch_name,_04_address,_07_google_map_url,_08_bank_data_url,_09_bank_type,_11_mother_bank_name
Local Bank,Selangor,PETALING JAYA,"No. 80 & 82, Jalan Othman (1/14), 46000 Petaling Jaya, Selangor Darul Ehsan",,https://www.hlb.com.my/en/personal-banking/help-support/branch-locator.html,Branches,Hong Leong Bank
Local Bank,Selangor,SHAH ALAM,"No. 3, Jalan Takal 15/21, Seksyen 15, 40000 Shah Alam, Selangor Darul Ehsan",,https://www.hlb.com.my/en/personal-banking/help-support/branch-locator.html,Branches,Hong Leong Bank
Local Bank,Selangor,RAWANG,"No. 59A, Jalan Welman, 48000 Rawang, Selangor Darul Ehsan",,https://www.hlb.com.my/en/personal-banking/help-support/branch-locator.html,Branches,Hong Leong Bank
Local Bank,Selangor,KLANG,"Wisma Meru, No. 1, Lintang Pekan Baru, Off Jalan Meru, 41050 Klang, Selangor Darul Ehsan",,https://www.hlb.com.my/en/personal-banking/help-support/branch-locator.html,Branches,Hong Leong Bank
Local Bank,Selangor,BANTING,"No. 119 & 121, Jalan Sultan Abdul Samad, 42700 Banting, Selangor Darul Ehsan.",,https://www.hlb.com.my/en/personal-banking/help-support/branch-locator.html,Branches,Hong Leong Bank
Local Bank,Selangor,KUALA SELANGOR,"No. 64, Jalan Stesen, 45000 Kuala Selangor, Selangor Darul Ehsan",,https://www.hlb.com.my/en/personal-banking/help-support/branch-locator.html,Branches,Hong Leong Bank
Local Bank,Selangor,SUBANG JAYA,"W-1-0, W-2-0 & W-1-1, Subang Square Business Centre, Jalan SS15/4G, 47500 Subang Jaya, Selangor Darul Ehsan",,https://www.hlb.com.my/en/personal-banking/help-support/branch-locator.html,Branches,Hong Leong Bank
Local Bank,Selangor,AMPANG,"No. 91, Lorong Memanda 1, Ampang Point, 68000 Ampang, Selangor Darul Ehsan",,https://www.hlb.com.my/en/personal-banking/help-support/branch-locator.html,Branches,Hong Leong Bank
Local Bank,Selangor,PUCHONG,"No. 2, Jalan Kinrara, Taman Kinrara, Jalan Puchong, 47100 Selangor Darul Ehsan",,https://www.hlb.com.my/en/personal-banking/help-support/branch-locator.html,Branches,Hong Leong Bank
Local Bank,Selangor,BALAKONG,"No. 24, Medan Taming 2, Taman Taming Jaya, 43300 Balakong, Selangor Darul Ehsan.",,https://www.hlb.com.my/en/personal-banking/help-support/branch-locator.html,Branches,Hong Leong Bank
Local Bank,Selangor,BANDAR SUNWAY,"No. 12 & 14, Jalan PJS 11/28A, Metro Bandar Sunway, Bandar Sunway, 46150 Petaling Jaya, Selangor Darul Ehsan",,https://www.hlb.com.my/en/personal-banking/help-support/branch-locator.html,Branches,Hong Leong Bank
Local Bank,Selangor,SRI ANDALAS,"No. 1 & 3, Jalan Sri Sarawak 17, Taman Sri Andalas, 41200 Klang, Selangor Darul Ehsan",,https://www.hlb.com.my/en/personal-banking/help-support/branch-locator.html,Branches,Hong Leong Bank
Local Bank,Selangor,KAJANG,"No. 11 & 13, Jalan M/J 1, Taman Majlis Jaya, Jalan Sungai Chua, 43000 Kajang, Selangor Darul Ehsan",,https://www.hlb.com.my/en/personal-banking/help-support/branch-locator.html,Branches,Hong Leong Bank
Local Bank,Selangor,TANJUNG SEPAT,"No. 174 & 174A, Jalan Besar, 42800 Tanjung Sepat, Kuala Langat, Selangor Darul Ehsan",,https://www.hlb.com.my/en/personal-banking/help-support/branch-locator.html,Branches,Hong Leong Bank
Local Bank,Selangor,PARAMOUNT GARDEN,"No. 18 & 20, Jalan 20/16A, Taman Paramount, 46300 Petaling Jaya, Selangor Darul Ehsan",,https://www.hlb.com.my/en/personal-banking/help-support/branch-locator.html,Branches,Hong Leong Bank
Local Bank,Selangor,SEKINCHAN,"No.15 & 16 Jalan Menteri Besar 2, New Sekinchan Business Centre, 45400 Sekinchan, Selangor Darul Ehsan",,https://www.hlb.com.my/en/personal-banking/help-support/branch-locator.html,Branches,Hong Leong Bank
Local Bank,Selangor,TAMAN SENTOSA KLANG,"No.36,Jalan Dato Shahbudin 30, Taman Sentosa, 41200 Klang, Selangor Darul Ehsan.",,https://www.hlb.com.my/en/personal-banking/help-support/branch-locator.html,Branches,Hong Leong Bank
Local Bank,Selangor,SELAYANG,"No.39 & 41, Jalan SJ 17, Taman Selayang Jaya, 68100 Batu Caves, Selangor Darul Ehsan.",,https://www.hlb.com.my/en/personal-banking/help-support/branch-locator.html,Branches,Hong Leong Bank
Local Bank,Selangor,TELUK PULAI,"No. 169, Jalan Teluk Pulai, 41100 Klang, Selangor Darul Ehsan",,https://www.hlb.com.my/en/personal-banking/help-support/branch-locator.html,Branches,Hong Leong Bank
Local Bank,Selangor,BANDAR BARU AMPANG,"No. 1G-3G, Jalan Wawasan 2/10, Bandar Baru Ampang, 68000 Ampang, Selangor Darul Ehsan.",,https://www.hlb.com.my/en/personal-banking/help-support/branch-locator.html,Branches,Hong Leong Bank
