_01_category,_02_state,_03_branch_name,_04_address,_07_google_map_url,_08_bank_data_url,_09_bank_type,_11_mother_bank_name
Local Bank,Selangor,Bandar Baru Bangi,"Ground, 1st & 2nd Floor  D32 & D33, Jalan Medan Pusat Bandar 4  Seksyen 9, 43650 Bandar Baru Bangi",https://goo.gl/maps/7xnTnrfBd5o,https://www.muamalat.com.my/contact-us/self-service-terminal/branches/?state=Selangor ,Branches,Bank Muamalat
Local Bank,Selangor,Batu Caves,"No.3A & 3A-1 (Ground & Level 1) & No.5 (Ground Floor)  Prima Samudera  Jalan Samudera Utara 11  Taman Samudera, 68100 Batu Caves ",https://goo.gl/maps/t6n5JcZr2RC2,https://www.muamalat.com.my/contact-us/self-service-terminal/branches/?state=Selangor ,Branches,Bank Muamalat
Local Bank,Selangor,"Glenmarie, Shah Alam","No. 2, Jalan Presiden F U1/F  Accentra Glenmarie, Seksyen U1  40150 Shah Alam",https://goo.gl/maps/sEvsHR7ARb22,https://www.muamalat.com.my/contact-us/self-service-terminal/branches/?state=Selangor ,Branches,Bank Muamalat
Local Bank,Selangor,Kajang,"Ground, 1st & 2nd Floor, No. 2-1-G/1/2  Jalan Prima Saujana 2/1  Prima Saujana, 43000 Kajang  Selangor Darul Ehsan",https://goo.gl/maps/sNPdUbo1JaH2,https://www.muamalat.com.my/contact-us/self-service-terminal/branches/?state=Selangor ,Branches,Bank Muamalat
Local Bank,Selangor,Klang,"No.46 & 48, Jalan Kelicap 42A/KU1  Klang Bandar Diraja  Off Jalan Meru, 41050 Klang, Selangor ",https://goo.gl/maps/bQ7c9mFEcgH2,https://www.muamalat.com.my/contact-us/self-service-terminal/branches/?state=Selangor ,Branches,Bank Muamalat
Local Bank,Selangor,Petaling Jaya,"No. B-29-1 & 2, Block B  Jaya One, 72A, Jalan Universiti  46200 Petaling Jaya, Selangor",https://goo.gl/maps/kr6LxGaqTdy,https://www.muamalat.com.my/contact-us/self-service-terminal/branches/?state=Selangor ,Branches,Bank Muamalat
Local Bank,Selangor,Rawang,"No. 9 & 11, Jalan Bandar Rawang 1  Bandar Baru Rawang, 48000 Rawang",https://goo.gl/maps/oAcA59Z2GN82,https://www.muamalat.com.my/contact-us/self-service-terminal/branches/?state=Selangor ,Branches,Bank Muamalat
Local Bank,Selangor,"PKNS, Shah Alam","G-1, 2 & 3 Ground Floor  Kompleks PKNS, 40000 Shah Alam",https://goo.gl/maps/Smwd7Lw4i1v,https://www.muamalat.com.my/contact-us/self-service-terminal/branches/?state=Selangor ,Branches,Bank Muamalat
Local Bank,Selangor,Laman Seri,"Ground & First Floor No. G03A & 103A  Laman Seri Business Park, No. 7  Jalan Sukan, Seksyen 13  40100 Shah Alam, Selangor",https://goo.gl/maps/v7DVvKjGF3G2,https://www.muamalat.com.my/contact-us/self-service-terminal/branches/?state=Selangor ,Branches,Bank Muamalat
Local Bank,Selangor,Subang Jaya,"Ground & First Floor, No. 1  Jalan USJ Sentral 2  USJ Sentral  47600 Subang Jaya, Selangor Darul Ehsan",https://goo.gl/maps/8gRbXSM1jE92,https://www.muamalat.com.my/contact-us/self-service-terminal/branches/?state=Selangor ,Branches,Bank Muamalat
