_01_category,_02_state,_03_branch_name,_04_address,_07_google_map_url,_08_bank_data_url,_09_bank_type,_11_mother_bank_name
Local Bank,Kuala Lumpur,Kampung Pandan Branch,"No.77, Jalan Kg. Pandan, 55100 KL",https://goo.gl/maps/HQcKwF9NckH1AaVH7,https://www.bsn.com.my/page/locate-us,Branches,BSN
Local Bank,Kuala Lumpur,Jalan Duta Branch,"Blok 10, Kompleks Kerajaan, 50480 Jalan Duta, KL",https://goo.gl/maps/hYuwzF24G462bM1y5,https://www.bsn.com.my/page/locate-us,Branches,BSN
Local Bank,Kuala Lumpur,Bandar Sri Permaisuri Branch,"No.73G, Jalan Dwi Tasik 1, Dataran Dwi Tasik, Bandar Sri Permaisuri, 56100 KL",https://goo.gl/maps/gaJtyEzdvwwYRPwWA,https://www.bsn.com.my/page/locate-us,Branches,BSN
Local Bank,Kuala Lumpur,Sungai Besi Branch,"No. 33 Jalan Tasik Utama 6, Medan Niaga Tasik Damai, Sungai Besi, 57000 Kuala Lumpur",https://goo.gl/maps/XforkZJB3atrZa1t8,https://www.bsn.com.my/page/locate-us,Branches,BSN
Local Bank,Kuala Lumpur,Brickfield Branch,"No. 166, Tkt. Bawah, Wisma MAB, 50450 Jalan Tun Sambanthan KL",https://goo.gl/maps/1j449gNgTUz7myh9A,https://www.bsn.com.my/page/locate-us,Branches,BSN
Local Bank,Kuala Lumpur,Jalan Sentul Branch,"No. 720 Tingkat Bawah Bangunan KGMMB, Jalan Sentul 51000 Kuala Lumpur",https://goo.gl/maps/JnPmeJqAVBcsKzTT6,https://www.bsn.com.my/page/locate-us,Branches,BSN
Local Bank,Kuala Lumpur,Kepong Baru Branch,"No. 51, Jalan Ambong 2, 52100 Kepong Baru Kuala Lumpur",https://goo.gl/maps/uWTCxm6RP3sLB1Gu5,https://www.bsn.com.my/page/locate-us,Branches,BSN
Local Bank,Kuala Lumpur,Batu 4 ½ Jalan Ipoh Branch,"No. 721, Batu 4 ½ Jalan Ipoh, 51200 KL",https://goo.gl/maps/DssLq2TbTHKq5Jdp8,https://www.bsn.com.my/page/locate-us,Branches,BSN
Local Bank,Kuala Lumpur,Taman Segar Branch,"No.7, Jalan Manis 6, Taman Segar, Cheras, 56100 KL",https://goo.gl/maps/MHc8NbiRUSF5vbT78,https://www.bsn.com.my/page/locate-us,Branches,BSN
Local Bank,Kuala Lumpur,Jalan Segambut Branch,"D-G-07 Tingkat Bawah, M.Aveneue, 52100 Segambut Kuala Lumpur",https://goo.gl/maps/J29eEYLCKrKiP89m7,https://www.bsn.com.my/page/locate-us,Branches,BSN
