_01_category,_02_state,_03_branch_name,_04_address,_07_google_map_url,_08_bank_data_url,_09_bank_type,_11_mother_bank_name
Local Bank,Kuala Lumpur,,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Kuala Lumpur,Bandar Tasik Permaisuri,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Kuala Lumpur,Bandar Wawasan,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Kuala Lumpur,Bukit Damansara,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Kuala Lumpur,Jalan Tun Razak,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Kuala Lumpur,KL Sentral,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Kuala Lumpur,Medan MARA,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Kuala Lumpur,Menara Bank Islam,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Kuala Lumpur,Menara TM,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Kuala Lumpur,Selayang,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Kuala Lumpur,,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Kuala Lumpur,Seri Petaling,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Kuala Lumpur,Taman Melawati,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Kuala Lumpur,Taman Tun Dr Ismail,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Kuala Lumpur,"UIAM, Gombak *",,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Kuala Lumpur,Universiti Malaya,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Kuala Lumpur,Wangsa Maju,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Kuala Lumpur,ATM: 8,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,Ampang,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,Ara Damansara,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,Bandar Baru Bangi,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,"Bandar Botanic, Klang",,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,Bandar Kinrara,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,Banting,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,Bukit Jelutong,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,Cyberjaya,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,Denai Alam,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,Kajang,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,Kelana Jaya,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,Klang,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,Kota Damansara,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,PJ New Town,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,Putrajaya,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,Putra Heights,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,Rawang,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,Saujana Utama,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,"Section 14, Petaling Jaya",,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,"Section 18, Shah Alam",,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,Semenyih,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,Setia Alam,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,Shah Alam,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,Sri Gombak,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,Subang Jaya,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,Sungai Besar,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,Sungai Buloh,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,Tanjung Karang,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,UiTM Shah Alam,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
Local Bank,Selangor,ATM: 33,,,https://www.bankislam.com/need-assistance/branch-locator/,Branches,Bank Islam
