_01_category,_02_state,_03_branch_name,_04_address,_07_google_map_url,_08_bank_data_url,_09_bank_type,_11_mother_bank_name
Local Bank,Kuala Lumpur,Jalan Tangsi,,,https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat
Local Bank,Kuala Lumpur,Jalan Ipoh,,,https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat
Local Bank,Kuala Lumpur,Bandar Tun Razak,,,https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat
Local Bank,Kuala Lumpur,Jalan Pinang,,,https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat
Local Bank,Kuala Lumpur,Bangsar Baru,,,https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat
Local Bank,Kuala Lumpur,Desa Pandan,,,https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat
Local Bank,Kuala Lumpur,Shamelin,,,https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat
Local Bank,Kuala Lumpur,Selayang,,,https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat
Local Bank,Kuala Lumpur,Setapak,,,https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat
Local Bank,Kuala Lumpur,Kepong,,,https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat
Local Bank,Kuala Lumpur,Desa Sri Hartamas,,,https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat
Local Bank,Kuala Lumpur,Glo Damansara,,,https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat
Local Bank,Kuala Lumpur,Melawati,,,https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat
Local Bank,Kuala Lumpur,"Utama, MKBR",,,https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat
Local Bank,Selangor,"Shah Alam, Seksyen 23",,,https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat
Local Bank,Selangor,Subang Perdana,,,https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat
Local Bank,Selangor,Kajang,,,https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat
Local Bank,Selangor,Banting,,,https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat
Local Bank,Selangor,Bandar Baru Klang,,,https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat
Local Bank,Selangor,Petaling Jaya,,,https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat
Local Bank,Selangor,Ampang,,,https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat
Local Bank,Selangor,Shah Alam,,,https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat
Local Bank,Selangor,"USJ, Subang Jaya",,,https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat
