_01_category,_02_state,_03_branch_name,_04_address,_05_latitude,_06_longitude,_07_google_map_url,_08_bank_data_url,_09_bank_type,_11_mother_bank_name
Local Bank,Selangor,UEP Subang Jaya,"47 & 49, Jalan USJ 10/1, UEP Subang Jaya, Petaling Jaya, 47620 Selangor",3.04771,101.58419,"https://maps.google.com/maps?q=loc:3.04771,101.58419&ll=3.04771,101.58419",https://www.rhbgroup.com/locate/index.html,Branches,RHB
Local Bank,Selangor,Bandar Baru Sungai Buloh,"391 & 392, Jalan 1A/1, Bandar Baru Sungai Buloh, Sungai Buloh, 47000, Selangor",,,"https://maps.google.com/maps?q=loc:3.20978.566029&ll=3.20978,101.56561",https://www.rhbgroup.com/locate/index.html,Branches,RHB
Local Bank,Selangor,Ampang Point,"37 & 38, Jalan Memanda 7, Taman Dato Ahmad Razali, Jalan Ampang, Ampang, 68000, Selangor",3.159456,101.7505,"https://maps.google.com/maps?q=loc:3.159456,101.7505&ll=3.159456,101.7505",https://www.rhbgroup.com/locate/index.html,Branches,RHB
Local Bank,Selangor,Bandar Baru Klang,"Unit A6, 22A, Jalan Tiara 2A/KU1, Pusat Perniagaan BBK, Klang, 41150 Selangor",3.06292,101.469264,"https://maps.google.com/maps?q=loc:3.06292,101.469264&ll=3.06292,101.469264",https://www.rhbgroup.com/locate/index.html,Branches,RHB
Local Bank,Selangor,Bandar Bukit Tinggi,"53, Jalan Batu Nilam 1, Bandar Bukit Tinggi, 41200 Selangor",3.0106814,101.4370406,"https://maps.google.com/maps?q=loc:3.0106814,101.4370406&ll=3.0106814,101.4370406",https://www.rhbgroup.com/locate/index.html,Branches,RHB
Local Bank,Selangor,Laman Seri Shah Alam Sales Office,"Unit No 17-1 & 17-2 Block No.1, Laman Seri Business Park, Seksyen 13, Shah Alam, 40000 Selangor",3.09161,101.54482,"https://maps.google.com/maps?q=loc:3.09161,101.54482&ll=3.09161,101.54482",https://www.rhbgroup.com/locate/index.html,Branches,RHB
Local Bank,Selangor,Premier Centre - UEP Subang Jaya,"1st Floor, 47 & 49, Jalan USJ 10/1, UEP Subang Jaya, Petaling Jaya, 47620 Selangor",3.0477151,101.5841996,"https://maps.google.com/maps?q=loc:3.0477151,101.5841996&ll=3.0477151,101.5841996",https://www.rhbgroup.com/locate/index.html,Branches,RHB
Local Bank,Selangor,Taman Taming Jaya,"1, Jalan Taming Kanan 2, Taman Taming Jaya, Balakong, 43300, Selangor",3.02496,101.74165,"https://maps.google.com/maps?q=loc:3.02496,101.74165&ll=3.02496,101.74165",https://www.rhbgroup.com/locate/index.html,Branches,RHB
Local Bank,Selangor,Setia Alam,"No. 2, Persiaran Setia Impian, Precint 8, Setia Alam, Seksyen U13, Shah Alam, 40170 Selangor",3.10172,101.444103,"https://maps.google.com/maps?q=loc:3.10172,101.444103&ll=3.10172,101.444103",https://www.rhbgroup.com/locate/index.html,Branches,RHB
Local Bank,Selangor,Section 14 PJ,"No 1, 2nd Floor, Jalan 14/20, 46100 Selangor",3.109942,101.634843,"https://maps.google.com/maps?q=loc:3.109942,101.634843&ll=3.109942,101.634843",https://www.rhbgroup.com/locate/index.html,Branches,RHB
