_01_category,_02_state,_03_branch_name,_04_address,_05_latitude,_06_longitude,_07_google_map_url,_08_bank_data_url,_09_bank_type,_11_mother_bank_name
Local Bank,Selangor,KL Main Branch,"1st Floor, Menara Maybank, 100, Jalan Tun Perak",3.1472786,101.6973465,,https://www.maybank2u.com.my/maybank2u/malaysia/en/personal/about_us/locate_maybank.page,Branches,Maybank2u
Local Bank,Selangor,Taman Tun Dr. Ismail Branch,"2, Lorong Rahim Kajai 14, Taman Tun Dr. Ismail",3.153917,101.6227359,,https://www.maybank2u.com.my/maybank2u/malaysia/en/personal/about_us/locate_maybank.page,Branches,Maybank2u
Local Bank,Selangor,Jalan Pudu Branch,"418 - 424, Jalan Pudu",3.1357298,101.712601,,https://www.maybank2u.com.my/maybank2u/malaysia/en/personal/about_us/locate_maybank.page,Branches,Maybank2u
Local Bank,Selangor,Mid Valley Branch,"G (E) - 016 Ground Floor, Mid Valley Megamall, Mid-Valley City, Lingkaran Syed Putra",3.1178029,101.6747751,,https://www.maybank2u.com.my/maybank2u/malaysia/en/personal/about_us/locate_maybank.page,Branches,Maybank2u
Local Bank,Selangor,Jalan Klang Lama Branch,"No. 1 & 3, Jalan Desa, Taman Desa",3.090824,101.686547,,https://www.maybank2u.com.my/maybank2u/malaysia/en/personal/about_us/locate_maybank.page,Branches,Maybank2u
Local Bank,Selangor,Kepong Prima Branch,"No. 10 & 12, Pusat Niaga Metro Prima, Jalan Prima 5, Metro Prima, Kepong",3.2125857,101.640598,,https://www.maybank2u.com.my/maybank2u/malaysia/en/personal/about_us/locate_maybank.page,Branches,Maybank2u
Local Bank,Selangor,Jalan Kuchai Lama Branch,"No. 1 & 3, Jalan Kuchai Maju 1, Off Jalan Kuchai Lama",3.091133,101.68945,,https://www.maybank2u.com.my/maybank2u/malaysia/en/personal/about_us/locate_maybank.page,Branches,Maybank2u
Local Bank,Selangor,Jalan Gombak Branch,"Wisma K.S, No. 5, Jalan Meranti, Taman Setapak, Setapak",3.2122222,101.709495,,https://www.maybank2u.com.my/maybank2u/malaysia/en/personal/about_us/locate_maybank.page,Branches,Maybank2u
Local Bank,Selangor,Desa Sri Hartamas Branch,"21 & 23, Jalan 23/70A, Desa Sri Hartamas",3.163028,101.651371,,https://www.maybank2u.com.my/maybank2u/malaysia/en/personal/about_us/locate_maybank.page,Branches,Maybank2u
Local Bank,Selangor,Desa Park City Branch,"E-G-13 & E-G-13A, Plaza Arkadia, No. 3, Jalan Intisari Perdana, Desa Parkcity",3.1869049,101.635665,,https://www.maybank2u.com.my/maybank2u/malaysia/en/personal/about_us/locate_maybank.page,Branches,Maybank2u
Local Bank,Selangor,Jalan P.Ramlee Branch,"Ground Floor, Menara Hap Seng, Jalan P. Ramlee",3.1530977,101.707056,,https://www.maybank2u.com.my/maybank2u/malaysia/en/personal/about_us/locate_maybank.page,Branches,Maybank2u
Local Bank,Selangor,Pandan Jaya Branch,"16 & 16A,  Jalan Pandan 3/6A, Taman Pandan Jaya",3.1357304,101.7399803,,https://www.maybank2u.com.my/maybank2u/malaysia/en/personal/about_us/locate_maybank.page,Branches,Maybank2u
Local Bank,Selangor,Plaza Sentral Branch,"Lot 1A, Ground Floor, Block 1A, Plaza Sentral, KL Sentral",3.131977,101.683658,,https://www.maybank2u.com.my/maybank2u/malaysia/en/personal/about_us/locate_maybank.page,Branches,Maybank2u
Local Bank,Selangor,Rivercity Jalan Ipoh Branch,"468-7 & 7A, Block D, Rivercity, 3rd Mile, Jalan Ipoh",3.1800652,101.683113,,https://www.maybank2u.com.my/maybank2u/malaysia/en/personal/about_us/locate_maybank.page,Branches,Maybank2u
Local Bank,Selangor,"Wisma FGV, KL Branch","G2W Ground Floor, Wisma FGV, Jalan Raja Laut",3.16176,101.6949,,https://www.maybank2u.com.my/maybank2u/malaysia/en/personal/about_us/locate_maybank.page,Branches,Maybank2u
Local Bank,Selangor,Kompleks Mahkamah SC,"Aras B1, Kompleks Mahkamah Jalan Duta",3.1760079,101.672466,,https://www.maybank2u.com.my/maybank2u/malaysia/en/personal/about_us/locate_maybank.page,Branches,Maybank2u
Local Bank,Selangor,Taman Maluri Branch,"188, Jalan Mahkota, Taman Maluri",3.129657,101.731911,,https://www.maybank2u.com.my/maybank2u/malaysia/en/personal/about_us/locate_maybank.page,Branches,Maybank2u
Local Bank,Selangor,Bukit Bintang Branch,"No. 42-2, Ground & 1st Floor, Jalan Sultan Ismail",3.1471254,101.709056,,https://www.maybank2u.com.my/maybank2u/malaysia/en/personal/about_us/locate_maybank.page,Branches,Maybank2u
Local Bank,Selangor,"Seksyen 5, Wangsa Maju Branch","No. 2 & 2A, Ground & 1st Floor, Jalan Wangsa Delima 11, D'Wangsa, KLSC Wangsa Maju",3.196863,101.741745,,https://www.maybank2u.com.my/maybank2u/malaysia/en/personal/about_us/locate_maybank.page,Branches,Maybank2u
