_01_category,_02_state,_03_branch_name,_04_address,_07_google_map_url,_08_bank_data_url,_09_bank_type,_11_mother_bank_name
Local Bank,Selangor,Pekan Kapar Branch,"Lot No. 156, Jalan Besar, 42200 Kapar, Selangor",https://goo.gl/maps/Ab51G4NV4XYr6xjH6,https://www.bsn.com.my/page/locate-us,Branches,BSN
Local Bank,Selangor,Sungai Way Branch,"No. 608, Jalan SS 9/13, Sungai Way, 47300 Petaling Jaya, Selangor",https://goo.gl/maps/qg7WxriNiKqDxSW6A,https://www.bsn.com.my/page/locate-us,Branches,BSN
Local Bank,Selangor,"SS 14/14, Petaling Jaya Branch","No. 10, Jalan 14/14, Seksyen 14, 46100 Petaling Jaya, Selangor",https://goo.gl/maps/Hz5ZhWdywxjSbZNaA,https://www.bsn.com.my/page/locate-us,Branches,BSN
Local Bank,Selangor,Kuala Kubu Bharu Branch,"No. 39, Jalan Kamarudin, 44000 Kuala Kubu Bharu, Selangor",https://goo.gl/maps/kbxkDWj4nRDtbcg67,https://www.bsn.com.my/page/locate-us,Branches,BSN
Local Bank,Selangor,"SS2/64, Petaling Jaya Branch","No. 5, Jalan SS 2/64, 47300 Petaling Jaya, Selangor",https://goo.gl/maps/SXiusg8Pu69ATVcG7,https://www.bsn.com.my/page/locate-us,Branches,BSN
Local Bank,Selangor,Bestari Jaya Branch,"No. 28A, Jalan Besar, 45600 Bestari Jaya, Selangor",https://goo.gl/maps/feCBReAPt9t78CGN6,https://www.bsn.com.my/page/locate-us,Branches,BSN
Local Bank,Selangor,Taman Sri Serdang Branch,"No. 226, Jalan 18/23, Taman Sri Serdang, 43300 Sri Kembangan, Selangor",https://goo.gl/maps/qLi3JibPwg1tszsg9,https://www.bsn.com.my/page/locate-us,Branches,BSN
Local Bank,Selangor,Sungai Besar Branch,"No. 21A, Jalan Menteri, 45300 Sungai Besar, Selangor",https://goo.gl/maps/EsE6qgrMzMUM55L7A,https://www.bsn.com.my/page/locate-us,Branches,BSN
Local Bank,Selangor,Jalan Othman Branch,"No. 88, Jalan Othman 1/14, 46770 Petaling Jaya, Selangor.",https://goo.gl/maps/Dot7S9Re7qv5mZ7Q9,https://www.bsn.com.my/page/locate-us,Branches,BSN
Local Bank,Selangor,"Sungai Buloh, Jeram Branch","No. 1, Bangunan Dato Tan Teng Kuay Jalan Besar, 45800 Jeram, Selangor",https://goo.gl/maps/gxHn3LcUpmt1a9PZ8,https://www.bsn.com.my/page/locate-us,Branches,BSN
Local Bank,Selangor,Jalan Gasing Branch,"No. 117, Jalan Gasing, 46000 Petaling Jaya, Selangor",https://goo.gl/maps/wfTkCja9F1gPyxTX9,https://www.bsn.com.my/page/locate-us,Branches,BSN
Local Bank,Selangor,CPI Jalan Pos Baru Branch,"No. 12, Jalan Pos Baru, 41300 Klang, Selangor",https://goo.gl/maps/mepFnGeunToUTCJi8,https://www.bsn.com.my/page/locate-us,Branches,BSN
Local Bank,Selangor,Semenyih Branch,"No. 21, Jalan Pasar Baru 3, 43500 Semenyih, Selangor",https://goo.gl/maps/DB6bESrZb9Vjpwxt7,https://www.bsn.com.my/page/locate-us,Branches,BSN
Local Bank,Selangor,Kelana Jaya Branch,"No. 26, Jalan SS 5B/2, Kelana Jaya, 47301 Petaling Jaya, Selangor",https://goo.gl/maps/anTeJbPdN65bBdCK7,https://www.bsn.com.my/page/locate-us,Branches,BSN
Local Bank,Selangor,Sekinchan Branch,"No. 42, Jalan Menteri Besar 2, 45400 Sekinchan, Selangor",https://goo.gl/maps/Lc8A6qVMATVhLS888,https://www.bsn.com.my/page/locate-us,Branches,BSN
Local Bank,Selangor,Kuala Selangor Branch,"No. 15 & 17, Jalan Medan Niaga 2, Medan Niaga Kuala Selangor, 45000 Kuala Selangor",https://goo.gl/maps/dnebFdZFzuUP7ryU9,https://www.bsn.com.my/page/locate-us,Branches,BSN
Local Bank,Selangor,"Seksyen 16, Shah Alam Branch","No. 9A, Jalan Niaga 16/3A, Seksyen 16, 40200 Shah Alam, Selangor",https://goo.gl/maps/tFBbcDK3PPuLj3jE7,https://www.bsn.com.my/page/locate-us,Branches,BSN
Local Bank,Selangor,Sungai Pelek Branch,"No.13, Jalan Damai 1, 43950 Sungai Pelek, Selangor",https://goo.gl/maps/kWfw9V3nrvBkNfWt6,https://www.bsn.com.my/page/locate-us,Branches,BSN
