_01_category,_02_state,_03_branch_name,_04_address,_05_latitude,_06_longitude,_07_bank_type,_08_mother_bank_name
Local Bank,Selangor,Pekan Kapar Branch,"Lot No. 156, Jalan Besar, 42200 Kapar, Selangor",3.1373725,101.3655629,Branches,BSN
Local Bank,Selangor,Sungai Way Branch,"No. 608, Jalan SS 9/13, Sungai Way, 47300 Petaling Jaya, Selangor",3.135889,101.4873678,Branches,BSN
Local Bank,Selangor,"SS 14/14, Petaling Jaya Branch","No. 10, Jalan 14/14, Seksyen 14, 46100 Petaling Jaya, Selangor",3.1098167,101.6280214,Branches,BSN
Local Bank,Selangor,Kuala Kubu Bharu Branch,"No. 39, Jalan Kamarudin, 44000 Kuala Kubu Bharu, Selangor",3.564565,101.6507138,Branches,BSN
Local Bank,Selangor,"SS2/64, Petaling Jaya Branch","No. 5, Jalan SS 2/64, 47300 Petaling Jaya, Selangor",3.1136437,101.551112,Branches,BSN
Local Bank,Selangor,Bestari Jaya Branch,"No. 28A, Jalan Besar, 45600 Bestari Jaya, Selangor",3.3781332,101.4063095,Branches,BSN
Local Bank,Selangor,Taman Sri Serdang Branch,"No. 226, Jalan 18/23, Taman Sri Serdang, 43300 Sri Kembangan, Selangor",3.0073112,101.7038587,Branches,BSN
Local Bank,Selangor,Sungai Besar Branch,"No. 21A, Jalan Menteri, 45300 Sungai Besar, Selangor",3.6752504,100.9847857,Branches,BSN
Local Bank,Selangor,Jalan Othman Branch,"No. 88, Jalan Othman 1/14, 46770 Petaling Jaya, Selangor.",3.0867498,101.6475994,Branches,BSN
Local Bank,Selangor,"Sungai Buloh, Jeram Branch","No. 1, Bangunan Dato Tan Teng Kuay Jalan Besar, 45800 Jeram, Selangor",3.2557471,101.2992125,Branches,BSN
Local Bank,Selangor,Jalan Gasing Branch,"No. 117, Jalan Gasing, 46000 Petaling Jaya, Selangor",3.107304,101.6446137,Branches,BSN
Local Bank,Selangor,CPI Jalan Pos Baru Branch,"No. 12, Jalan Pos Baru, 41300 Klang, Selangor",3.0464738,101.4490372,Branches,BSN
Local Bank,Selangor,Semenyih Branch,"No. 21, Jalan Pasar Baru 3, 43500 Semenyih, Selangor",2.9466313,101.8470625,Branches,BSN
Local Bank,Selangor,Kelana Jaya Branch,"No. 26, Jalan SS 5B/2, Kelana Jaya, 47301 Petaling Jaya, Selangor",3.1004584,101.6054704,Branches,BSN
Local Bank,Selangor,Sekinchan Branch,"No. 42, Jalan Menteri Besar 2, 45400 Sekinchan, Selangor",3.507028,101.1021941,Branches,BSN
Local Bank,Selangor,Kuala Selangor Branch,"No. 15 & 17, Jalan Medan Niaga 2, Medan Niaga Kuala Selangor, 45000 Kuala Selangor",3.319406,101.2697438,Branches,BSN
Local Bank,Selangor,"Seksyen 16, Shah Alam Branch","No. 9A, Jalan Niaga 16/3A, Seksyen 16, 40200 Shah Alam, Selangor",3.0583337,101.5063416,Branches,BSN
Local Bank,Selangor,Sungai Pelek Branch,"No.13, Jalan Damai 1, 43950 Sungai Pelek, Selangor",2.644289,101.7192832,Branches,BSN
Local Bank,Selangor,Sabak Bernam Branch,"No. 5, Jalan Raja Chulan, Bangunan UMNO Bahagian, 45200 Sabak Bernam, Selangor",3.7681,100.9820441,Branches,BSN
Local Bank,Selangor,CPI Bandar Baru Bangi Branch,"No. 30, Jalan Medan Pusat Bandar 4, Seksyen 9, Bandar Baru Bangi, Selangor",2.9589806,101.6854915,Branches,BSN
Local Bank,Selangor,Taman Sri Muda Branch,"No. 20, Jalan Bersatu 25/9, Seksyen 25, Taman Sri Muda, 40400 Shah Alam, Selangor",3.0308798,101.5309943,Branches,BSN
Local Bank,Selangor,Pekan Meru Branch,"Tingkat Bawah, No. 69 & 71, Pekan Meru, 41050 Meru, 41050 Klang, Selangor",3.1315976,101.4395614,Branches,BSN
Local Bank,Selangor,Taman Indah Balakong Branch,"No. S-11, Taman Indah, 43200 Kajang, Selangor",3.0427917,101.7715572,Branches,BSN
Local Bank,Selangor,Dengkil Branch,"No. 7, Jalan Deluxe, Pusat Perniagaan Deluxe, 47800 Dengkil, Selangor",2.8637328,101.6759142,Branches,BSN
Local Bank,Selangor,CPI Tanjung Karang Branch,"Tingkat Bawah, No. 2, Jalan PB 1, Pusat Bandar Tanjong Karang, 45500 Tanjong Karang, Selangor",3.4252967,101.1771107,Branches,BSN
Local Bank,Selangor,Subang Jaya USJ 9 (Taipan Crest) Branch,"No. 6, Jln USJ 9/5R, 47620 UEP Subang Jaya, Selangor",3.0475571,101.5787146,Branches,BSN
Local Bank,Selangor,Kajang Branch,"Lot 55 & 56, Jalan Raja Haron, 43000 Kajang, Selangor",2.9922532,101.7907608,Branches,BSN
Local Bank,Selangor,UKM Bangi Branch,"Bangunan UNIKEB, UKM 43600 Bangi, Selangor",2.9266433,101.7710748,Branches,BSN
Local Bank,Selangor,Rawang Branch,"No. 11 & 13, Jalan Bndr Rawang 15, Bandar Baru Rawang 2, 48000 Rawang, Selangor",3.3200936,101.5690945,Branches,BSN
Local Bank,Selangor,Banting Branch,"Lot 192 & 194, Jalan Sultan Abdul Samad, 42700 Banting, Selangor",2.813825,101.50371,Branches,BSN
Local Bank,Selangor,Bandar Baru Salak Tinggi Branch,"No. 28 & 30 Jalan 1C/4, Bandar Baru Salak Tinggi, 43900 Sepang, Selangor",2.8114391,101.7380469,Branches,BSN
Local Bank,Selangor,Taman Subang Perdana Branch,"No. 19, Lot 32, Jln Dinar GU 3/G, Taman Subang Perdana, Seksyen U3, 40150 Shah Alam, Selangor",3.1485043,101.5423173,Branches,BSN
Local Bank,Selangor,Subang Jaya (SS15/8A) Branch,"No. 21, Jalan SS 15/8A, Subang Jaya, 47500 Petaling Jaya, Selangor",3.0741041,101.588615,Branches,BSN
Local Bank,Selangor,PJ New Town (Jalan Sultan) Branch,"No. 46, Jalan 52/4, Petaling Jaya New Town Centre, 46200 Petaling Jaya, Selangor",3.0741041,101.588615,Branches,BSN
Local Bank,Selangor,Puchong Jaya Branch,"No. 14, Jalan Kenari 5, Bandar Puchong Jaya, 47100 Puchong, Selangor",3.0474195,101.6215514,Branches,BSN
Local Bank,Selangor,Pelabuhan Klang Branch,"No. 51 & 53, Jalan Cungah, 42000 Pelabuhan Klang, Selangor",3.0022609,101.3979606,Branches,BSN
Local Bank,Selangor,CPI Bandar Baru Sungai Buluh Branch,"No. 353, Tingkat Bwh, Jln 1A/3, Bandar Baru Sungai Buloh, 47000 Sungai Buloh, Selangor",3.210541,101.566329,Branches,BSN
Local Bank,Selangor,Bandar Bukit Tinggi Branch,"No. 52A, Lorong Batu Nilam 4B, Bandar Bukit Tinggi, 42100 Klang, Selangor",3.0072331,101.427413,Branches,BSN
Local Bank,Selangor,Setia Alam Branch,"11-1-1 Jalan Setia Prima (R) U13/R, Setia Alam, Seksyen U13, 40170 Setia Alam, Selangor",3.1007799,101.4358841,Branches,BSN
Local Bank,Selangor,Bandar Sri Putra Branch,"No. 1, Jalan SP 1/5, Bandar Seri Putra, 43000 Kajang, Selangor",2.8862186,101.782159,Branches,BSN
Local Bank,Selangor,Saujana Utama Branch,"No. 46-G & 46-1, Jalan Bidara 6/3, Saujana Utama 3, 47000 Sg. Buloh, Selangor.",3.2035288,101.478546,Branches,BSN
Local Bank,Selangor,"Seksyen 18, Shah Alam Branch","No. 14, Jalan Pinang C 18/C, Seksyen 18, 40200 Shah Alam, Selangor.",3.0448873,101.5087164,Branches,BSN
Local Bank,Selangor,Taman OUG Branch,"No. 148 Jalan Mega Mendung, Kompleks Bandar, Bt. 5 Jalan Kelang Lama, 58200 Kuala Lumpur",3.08318,101.6691083,Branches,BSN
Local Bank,Selangor,Universiti Kebangsaan Malaysia,"Lot 1.04 & 1.05, Level 1, Wisma UNIKEB, Universiti Kebangsaan Malaysia, 43600 UKM Bangi, Selangor",2.927187,101.7736902,Branches,CIMB
Local Bank,Selangor,Bandar Baru Bangi,"No 67, Jalan 8/1, Section 8, 43650 Bandar Baru Bangi, Selangor",2.9643005,101.753824,Branches,CIMB
Local Bank,Selangor,Banting,"135-137, Jalan Sultan Abdul Samad, 42700 Banting, Selangor",2.8140029,101.5048266,Branches,CIMB
Local Bank,Selangor,Cyberjaya,"Prima 5-A, Jalan Teknokrat 5, 63000 Cyberjaya, Selangor",2.9212612,101.6556964,Branches,CIMB
Local Bank,Selangor,Taman Nilam Dengkil,"No 3, Jalan Nilam 1, Taman Nilam, 43800 Dengkil, Selangor",2.8650154,101.673945,Branches,CIMB
Local Bank,Selangor,Kajang,"Ground & first Floor, Block A-2 & A-3, MKH Avenue, Jalan Avenue 1A, 43000 Kajang, Selangor",2.9924244,101.7918167,Branches,CIMB
Local Bank,Selangor,Pearl Avenue Kajang,"Ground Floor, PA-S-16 Pearl Avenue Shop, Jalan Pasir Emas, Sungai Chua 43000 Kajang, Selangor",2.9832263,101.7788974,Branches,CIMB
Local Bank,Selangor,Sungai Besar,"22A, Jalan Menteri, 45300 Sungai Besar, Sabak Bernam, Selangor",3.6750726,100.9853932,Branches,CIMB
Local Bank,Selangor,Taman Equine,"No 3, 5 & 7, Jalan Equine 1C, Taman Equine, 43300 Seri Kembangan, Selangor",2.9965908,101.6784614,Branches,CIMB
Local Bank,Selangor,Teluk Panglima Garang,"No. 26, 28 & 30, Ground Floor, Jalan Utama 55, Taman Jaya Utama, 42500 Teluk Panglima Garang, Selangor",2.9137215,101.472573,Branches,CIMB
Local Bank,Kuala Lumpur,Starhill Preferred Centre,"Lot 11 & 12, UG Floor, Starhill Preferred Centre, Starhill Gallery, 181, Jalan Bukit Bintang, 55100, Kuala Lumpur",,,Branches,CIMB
Foreigner Bank,Selangor,HSBC Amanah Ampang Point,"18, 19 & 20, Lorong Memanda 5, Ampang Point, Ampang Point, Selangor Darul Ehsan, 68000, Ampang Point",,,Branches,HSBC
Foreigner Bank,Kuala Lumpur,HSBC Amanah Old Klang Road,"1-G & 1-1, Ground & First Floor, 3rd Mile Square, 151 Jalan Kelang Lama, Batu 3 1/2, Old Klang Road, Wilayah Persekutuan Kuala Lumpur, 58100, Kuala Lumpur",,,Branches,HSBC
Foreigner Bank,Kuala Lumpur,HSBC Plaza Mont Kiara,"Plaza Mont Kiara No 2, Jalan Kiara, Mont Kiara, Plaza Mont Kiara, Wilayah Persekutuan Kuala Lumpur, 50480, Kuala Lumpur",,,Branches,HSBC
Foreigner Bank,Kuala Lumpur,HSBC Bukit Bintang,"Menara Genesis No 33 Jalan Sultan Ismail, Bukit Bintang, Wilayah Persekutuan Kuala Lumpur, 50250, Kuala Lumpur",,,Branches,HSBC
Foreigner Bank,Kuala Lumpur,HSBC Amanah Wangsa Maju,"Nos.37, 37-1 & 39, Jalan Rampai Niaga 5, Medan Niaga Rampai, Wangsa Maju, Wilayah Persekutuan Kuala Lumpur, 53300, Kuala Lumpur",,,Branches,HSBC
Foreigner Bank,Kuala Lumpur,HSBC Amanah Bangsar,"No.66G, 66-1 & 68G, Jalan Telawi, Bangsar Baru, Bangsar, Wilayah Persekutuan Kuala Lumpur, 59100, Kuala Lumpur",,,Branches,HSBC
Foreigner Bank,Kuala Lumpur,HSBC KL Main,"Level 2, Menara IQ, Lingkaran TRX, Tun Razak Exchange, 55188 Kuala Lumpur, Tun Razak Exchange, Wilayah Persekutuan Kuala Lumpur, 55188, Kuala Lumpur",,,Branches,HSBC
Foreigner Bank,Kuala Lumpur,HSBC Puncak Sentul,"Unit No. AG 10 & AG 11 Ground Floor, Puncak Sentul, No. 8, Jalan Sentul Perdana, 51000 Kuala Lumpur, Sentul, Wilayah Persekutuan Kuala Lumpur, 51000, Kuala Lumpur",,,Branches,HSBC
Foreigner Bank,Kuala Lumpur,HSBC Amanah Bangsar South,"Unit G-03, Ground Floor, The Sphere, No. 1, Avenue 1, Bangsar South City, No. 8, Jalan Kerinchi, 59200 Kuala Lumpur, Bangsar South, Wilayah Persekutuan Kuala Lumpur, 59200, Kuala Lumpur",,,Branches,HSBC
Foreigner Bank,Kuala Lumpur,HSBC Amanah KL City Centre,"Units G-12 & M-16, Ground & Mezzanine Floors, Wisma UOA II, No 21 Jalan Pinang, Kuala Lumpur City Centre, Wilayah Persekutuan Kuala Lumpur, 50450, Kuala Lumpur City Centre",,,Branches,HSBC
Foreigner Bank,Kuala Lumpur,Kuala Lumpur Main,"Ground Floor
Menara OCBC
18 Jalan Tun Perak
50050 Kuala Lumpur",,,Branches,OCBC
Foreigner Bank,Kuala Lumpur,Bukit Damansara,"19 Jalan Setiapuspa
Bukit Damansara
50490 Kuala Lumpur",,,Branches,OCBC
Foreigner Bank,Kuala Lumpur,Petaling Jaya,"89, 91 & 93 Jalan SS 21/60
Damansara Utama
47400 Petaling Jaya",,,Branches,OCBC
Foreigner Bank,Kuala Lumpur,Cheras,"No. 1, 3, 5 & 7
Jalan Damai Niaga 1
Alam Damai Cheras
56000 Kuala Lumpur",,,Branches,OCBC
Foreigner Bank,Selangor,Al-Amin Kota Damansara,"1 Jalan PJU 5/20
Pusat Perdagangan Kota Damansara (THE STRAND)
Kota Damansara PJU 5
47810 Petaling Jaya,
Selangor",,,Branches,OCBC
Foreigner Bank,Kuala Lumpur,Kepong,"60 Vista Magna
Jalan Prima
Metro Prima Kepong
52100 Kuala Lumpur",,,Branches,OCBC
Foreigner Bank,Selangor,Puchong,"GF-2 & 3, 1F-1 & 2, Tower 2
Puchong Financial Corporate Centre (PFCC)
Jalan Puteri 1/2 Bandar Puteri
47100 Puchong
Selangor Darul Ehsan",,,Branches,OCBC
Foreigner Bank,Selangor,Subang Jaya,"1A-A – 4A-A
Jalan USJ 10/1A
Pusat Perniagaan USJ 10
47610 UEP Subang Jaya
Selangor Darul Ehsan",,,Branches,OCBC
Foreigner Bank,,Kajang,"4 & 5 Jalan Raja Haroun
43000 Kajang
Selangor Darul Ehsan",,,Branches,OCBC
Foreigner Bank,Selangor,Al-Amin Kota Kemuning,"27, Jalan Anggerik Vanilla BF 31/BF,
Business Park 3,
Kota Kemuning,
40460 Shah Alam",,,Branches,OCBC
Foreigner Bank,Selangor,Klang,"19 Jalan Stesen
41000 Klang
Selangor Darul Ehsan",,,Branches,OCBC
Foreigner Bank,Selangor,Al-Amin Bandar Botanic,"No. 117, Jalan Mahogani 5/KS 7,
Bandar Botanic,
41200 Klang
Selangor",,,Branches,OCBC
Foreigner Bank,,Seremban,"63 - 65 Jalan Dato Bandar Tunggal
70000 Seremban
Negeri Sembilan Darul Khusus",,,Branches,OCBC
Foreigner Bank,,Melaka,"No. 2F-2F-4
Jalan KLJ4
Taman Kota Laksamana Jaya
75200 Melaka",,,Branches,OCBC
Foreigner Bank,,Teluk Intan,"1054 Jalan Mahkota
36000 Teluk Intan
Perak Darul Ridzuan",,,Branches,OCBC
Foreigner Bank,,Segamat,"109C-109E Jalan Genuang
85000 Segamat
Johor Darul Takzim",,,Branches,OCBC
Foreigner Bank,,Muar,"26 Jalan Maharani
84000 Muar
Johor Darul Takzim",,,Branches,OCBC
Foreigner Bank,,Ipoh Main,"2 Jalan Dato Maharaja Lela
30000 Ipoh
Perak Darul Ridzuan",,,Branches,OCBC
Foreigner Bank,,Kuantan,"40 Jalan Teluk Sisek
25000 Kuantan
Pahang Darul Makmur",,,Branches,OCBC
Foreigner Bank,,Batu Pahat,"108-2 Jalan Rahmat
83000 Batu Pahat
Johor Darul Takzim",,,Branches,OCBC
Foreigner Bank,,Taiping,"24-30 Jalan Berek
34000 Taiping
Perak Darul Ridzuan",,,Branches,OCBC
Foreigner Bank,,Kluang,"8A Jalan Dato' Haji Hassan
86000 Kluang
Johor Darul Takzim",,,Branches,OCBC
Foreigner Bank,,Kulai,"No. 202, 203 and 204,
Jalan Kenanga 29/2,
Indahpura,
81000 Kulai,
Johor Darul Takzim",,,Branches,OCBC
Foreigner Bank,,Al-Amin Skudai,"No. 143 & 145,
Jalan Sutera Tanjung 8/2
Taman Sutera Utama
81300 Skudai
Johor",,,Branches,OCBC
Foreigner Bank,,Bukit Mertajam,"No. 47, 49, 51, 53
Jalan Perniagaan Gemilang 1
Pusat Perniagaan Gemilang
14000 Bukit Mertajam
Pulau Pinang",,,Branches,OCBC
Foreigner Bank,,Batu Maung,"No.13 – 15 Lintang Batu Maung 1
11960 Batu Maung,
Pulau Pinang",,,Branches,OCBC
Foreigner Bank,,Taman Molek,"47 & 49 Jalan Molek 1/29
Taman Molek
81100 Johor Bahru
Johor Darul Takzim",,,Branches,OCBC
Foreigner Bank,,Penang,"36 Lebuh Pantai
10300 Pulau Pinang",,,Branches,OCBC
Foreigner Bank,,Johor Bahru,"1 Jalan Ibrahim
80000 Johor Bahru
Johor Darul Takzim",,,Branches,OCBC
Foreigner Bank,,Al-Amin Sungai Petani,"104, Jalan Legenda 4
Legenda Heights
08000 Sungai Petani
Kedah Darul Aman",,,Branches,OCBC
Foreigner Bank,,Kota Bharu,"3940 Jalan Temenggong
15000 Kota Bharu
Kelantan Darul Naim",,,Branches,OCBC
Foreigner Bank,,Alor Setar,"No. 209 Jalan Gangsa
Kawasan Perusahaan Mergong 2
05150 Alor Setar",,,Branches,OCBC
Foreigner Bank,,Kuching,"UG Floor,
Gateway Kuching
No.9, Jalan Bukit Mata
93100 Kuching
Sarawak",,,Branches,OCBC
Foreigner Bank,,Al-Amin Sibu,"Ground Floor,
Wisma Toh Li Hua Foundation,
Jaya Li Hua,
No. 21 Jalan Pahlawan,
96000 Sibu
Sarawak",,,Branches,OCBC
Foreigner Bank,,Miri,"Lot 1375 & 1376 Centrepoint
Commercial Centre (Phase 2)
Block 10 Miri Concession
Land District Kubu Road
98000 Miri
Sarawak",,,Branches,OCBC
Foreigner Bank,,Kota Kinabalu,"21 & 23 Jalan Pantai
88000 Kota Kinabalu
Sabah",,,Branches,OCBC
Foreigner Bank,,Al-Amin Sandakan,"Lot 1, Block 16, Bandar Indah,
Batu 4, Jalan Utara,
90000 Sandakan
Sabah",,,Branches,OCBC
