_01_category,_02_state,_03_branch_name,_04_address,_05_latitude,_06_longitude,_07_bank_type,_08_mother_bank_name
Local Bank,Selangor,AFFIN Ampang Jaya,"No 11 & 11A, Jalan Mamanda 7/1, Ampang Point, 68000 Ampang, Selangor",3.1512714,101.7058145,AFFIN Branch,Affin
Local Bank,Selangor,AFFIN Kinrara,"No 1, Jalan TK1/11A, Taman Kinrara, Section 1, Batu 7 1/2, Jalan Puchong, 47100 Puchong, Selangor",3.064861,101.6492785,AFFIN Branch,Affin
Local Bank,Selangor,AFFIN PJ State,"No. 38 & 40, Jalan Yong Shook Lin, 46050 Petaling Jaya, Selangor",3.0978825,101.6430538,AFFIN Branch,Affin
Local Bank,Selangor,AFFIN Kepong,"No. 6, Jalan 54, Desa Jaya, 52100 Kepong, Selangor",3.2138966,101.6323013,AFFIN Branch,Affin
Local Bank,Selangor,AFFIN Ampang New Village,"No 21G & 23G, Jalan Wawasan 2/2, Bandar Baru Ampang, 68000 Ampang, Selangor",3.1463013,101.7666529,AFFIN Branch,Affin
Local Bank,Selangor,AFFIN Kota Kemuning,"No 15-1 & 17-1 (GF), No. 8 Jalan Anggerik Vanilla BE 31/BE, Kota Kemuning Seksyen 31, 40460 Shah Alam, Selangor",3.0044406,101.5364145,AFFIN Branch,Affin
Local Bank,Selangor,AFFIN Bandar Bukit Tinggi,"No. 77 & 79 Jalan Batu Nilam 5, Bandar Bukit Tinggi, 41200 Klang, Selangor",3.0106806,101.434049,AFFIN Branch,Affin
Local Bank,Selangor,AFFIN USJ Taipan,"No 8A & 8B, Jalan USJ 10/1j, Taipan Business Centre, 47620 Subang Jaya, Selangor",3.0609574,101.5788918,AFFIN Branch,Affin
Local Bank,Selangor,AFFIN Puchong,"No 12A, Jalan Puteri 1/1 Bandar Puteri Puchong 47100 Puchong, Selangor",3.025299,101.614407,AFFIN Branch,Affin
Local Bank,Selangor,AFFIN Jalan Meru,"No. 38 & 40, Pelangi Avenue, Jalan Kelicap 42A/KU1, Klang Bandar Diraja, 41050 Klang, Selangor",3.0640307,101.4512663,AFFIN Branch,Affin
