_01_category,_02_state,_03_branch_name,_04_address,_07_google_map_url,_08_bank_data_url,_09_bank_type,_11_mother_bank_name,
Local Bank,Kuala Lumpur,Jalan Tangsi,"Ground Floor, Bangunan Bank Rakyat, Jalan Tangsi
50732
Kuala Lumpur","https://www.google.com/maps/place/Bank+Kerjasama+Rakyat+Malaysia+Bhd/@3.1505207,101.6897442,17z/data=!4m10!1m2!2m1!1s%22Ground+Floor,+Bangunan+Bank+Rakyat,+Jalan+Tangsi+50732+Kuala+Lumpur%22!3m6!1s0x31cc484e21fa5a81:0x278e5bd3e90ec648!8m2!3d3.1505153!4d101.6923191!15sCkUiR3JvdW5kIEZsb29yLCBCYW5ndW5hbiBCYW5rIFJha3lhdCwgSmFsYW4gVGFuZ3NpIDUwNzMyIEt1YWxhIEx1bXB1ciIiA4gBAZIBBGJhbmvgAQA!16s%2Fg%2F1vbnlx8r?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
Local Bank,Kuala Lumpur,Jalan Ipoh,"No. 140, Bangunan Bank Rakyat, Jalan Ipoh
51200
Kuala Lumpur","https://www.google.com/maps/place/AmBank+Jalan+Ipoh/@3.1801769,101.6801499,17z/data=!3m1!5s0x31cc480d2359de41:0xf1ccd67e8649d42d!4m10!1m2!2m1!1s%22No.+140,+Bangunan+Bank+Rakyat,+Jalan+Ipoh+51200+Kuala+Lumpur%22!3m6!1s0x31cc47d12299ed77:0x79e448281db2076!8m2!3d3.1801715!4d101.6827248!15sCj4iTm8uIDE0MCwgQmFuZ3VuYW4gQmFuayBSYWt5YXQsIEphbGFuIElwb2ggNTEyMDAgS3VhbGEgTHVtcHVyIiIDiAEBkgEDYXRt4AEA!16s%2Fg%2F1pzs_l14q?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
Local Bank,Kuala Lumpur,Bandar Tun Razak,"G 11, G12, 01-11 & 01-12, Wisma Zelan, Bandar Tun Razak
56000
Kuala Lumpur","https://www.google.com/maps/place/Wisma+Zelan/@3.0998048,101.7147672,17z/data=!4m10!1m2!2m1!1s%22G+11,+G12,+01-11+%26+01-12,+Wisma+Zelan,+Bandar+Tun+Razak+56000+Kuala+Lumpur%22!3m6!1s0x31cc35f1d281f0bb:0x5f61c61654ab0d6!8m2!3d3.0997994!4d101.7173421!15sCkwiRyAxMSwgRzEyLCAwMS0xMSAmIDAxLTEyLCBXaXNtYSBaZWxhbiwgQmFuZGFyIFR1biBSYXphayA1NjAwMCBLdWFsYSBMdW1wdXIikgEPYnVzaW5lc3NfY2VudGVy4AEA!16s%2Fg%2F11fnnlwn0b?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
Local Bank,Kuala Lumpur,Jalan Pinang,"19-1-1 Ground Floor & 19-1-1A Mezzanine Floor, UOA Centre, No. 19 Jalan Pinang
50450
Kuala Lumpur","https://www.google.com/maps/place/Floor+%26+19,+Wisma+Uoa+Centre,+19,+Jalan+Pinang,+Kuala+Lumpur,+50450+Kuala+Lumpur,+Wilayah+Persekutuan+Kuala+Lumpur,+Malaysia/@3.1526749,101.712005,17z/data=!3m1!4b1!4m9!1m2!2m1!1s%2219-1-1+Ground+Floor+%26+19-1-1A+Mezzanine+Floor,+UOA+Centre,+No.+19+Jalan+Pinang+50450+Kuala+Lumpur%22!3m5!1s0x31cc37d4984a968b:0x3a2aa7c44446d15d!8m2!3d3.1526749!4d101.712005!15sCmMiMTktMS0xIEdyb3VuZCBGbG9vciAmIDE5LTEtMUEgTWV6emFuaW5lIEZsb29yLCBVT0EgQ2VudHJlLCBOby4gMTkgSmFsYW4gUGluYW5nIDUwNDUwIEt1YWxhIEx1bXB1ciKSARBjb21wb3VuZF9zZWN0aW9u4AEA?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
Local Bank,Kuala Lumpur,Bangsar Baru,"Bangsar Baru
No. 60 & 62, Ground Floor, Level 1 & 2, Jalan Maarof,
59100 Bangsar Baru,
Kuala Lumpur","https://www.google.com/maps/place/Bangsar+Shopping+Centre/@3.1428401,101.6324984,13z/data=!4m10!1m2!2m1!1s%22Bangsar+Baru+No.+60+%26+62,+Ground+Floor,+Level+1+%26+2,+Jalan+Maarof,+59100+Bangsar+Baru,+Kuala+Lumpur!3m6!1s0x31cc49af4eb9fcef:0xcfdda27701734456!8m2!3d3.1428401!4d101.6675173!15sCmQiQmFuZ3NhciBCYXJ1IE5vLiA2MCAmIDYyLCBHcm91bmQgRmxvb3IsIExldmVsIDEgJiAyLCBKYWxhbiBNYWFyb2YsIDU5MTAwIEJhbmdzYXIgQmFydSwgS3VhbGEgTHVtcHVyWl8iXWJhbmdzYXIgYmFydSBubyA2MCAmIDYyIGdyb3VuZCBmbG9vciBsZXZlbCAxICYgMiBqYWxhbiBtYWFyb2YgNTkxMDAgYmFuZ3NhciBiYXJ1IGt1YWxhIGx1bXB1cpIBD3Nob3BwaW5nX2NlbnRlcpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VRdGNYSTNNR0ozRUFF4AEA!16s%2Fg%2F1pzsl2580?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
Local Bank,Kuala Lumpur,Desa Pandan,"No. 33 & 35, Jalan 1/76, Desa Pandan
55100
Kuala Lumpur","https://www.google.com/maps/place/33,+Jln+1%2F76,+Desa+Pandan,+55100+Kuala+Lumpur,+Wilayah+Persekutuan+Kuala+Lumpur,+Malaysia/@3.146144,101.735945,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc364c02bbf599:0xb8ab619a509ba339!8m2!3d3.146144!4d101.735945!16s%2Fg%2F11k9dx6rzb?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
Local Bank,Kuala Lumpur,Shamelin,"No. 6B-1-1 & 6B-1-2 Jalan 4/91, Dataran Shamelin, Taman Shamelin Perkasa,
56100
Kuala Lumpur","https://www.google.com/maps/place/Dataran+Shamelin/@3.1241616,101.7342918,17z/data=!4m10!1m2!2m1!1s%22No.+6B-1-1+%26+6B-1-2+Jalan+4%2F91,+Dataran+Shamelin,+Taman+Shamelin+Perkasa,+56100+Kuala+Lumpur%22!3m6!1s0x31cc366e8b0f28ed:0x1675001aad2ed458!8m2!3d3.1241616!4d101.7364805!15sCl4iTm8uIDZCLTEtMSAmIDZCLTEtMiBKYWxhbiA0LzkxLCBEYXRhcmFuIFNoYW1lbGluLCBUYW1hbiBTaGFtZWxpbiBQZXJrYXNhLCA1NjEwMCBLdWFsYSBMdW1wdXIikgEQY29ycG9yYXRlX29mZmljZeABAA!16s%2Fg%2F1pzs1p40c?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
Local Bank,Kuala Lumpur,Selayang,"Ground Floor, Block B, KIP Tower, Jalan Kuching
68100
Kuala Lumpur","https://www.google.com/maps/place/Bank+Rakyat+@+Selayang/@3.2232833,101.6536342,14z/data=!4m10!1m2!2m1!1s%22Ground+Floor,+Block+B,+KIP+Tower,+Jalan+Kuching+68100+Kuala+Lumpur%22!3m6!1s0x31cc47af1299cf8f:0xdc8a8697b02a6c2d!8m2!3d3.2232833!4d101.6711437!15sCkQiR3JvdW5kIEZsb29yLCBCbG9jayBCLCBLSVAgVG93ZXIsIEphbGFuIEt1Y2hpbmcgNjgxMDAgS3VhbGEgTHVtcHVyIpIBBGJhbmvgAQA!16s%2Fg%2F1hc1y26sm?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
Local Bank,Kuala Lumpur,Setapak,"No. 1, Jalan 2/50, Diamond Square, Off Jalan Gombak,
53000
Kuala Lumpur","https://www.google.com/maps/place/Devan+%26+Associates/@3.1947805,101.696935,15z/data=!4m10!1m2!2m1!1s%22No.+1,+Jalan+2%2F50,+Diamond+Square,+Off+Jalan+Gombak,+53000+Kuala+Lumpur!3m6!1s0x31cc47ff4beaaaab:0xae0e4d65011b72d2!8m2!3d3.1947805!4d101.7056897!15sCkgiTm8uIDEsIEphbGFuIDIvNTAsIERpYW1vbmQgU3F1YXJlLCBPZmYgSmFsYW4gR29tYmFrLCA1MzAwMCBLdWFsYSBMdW1wdXKSAQZsYXd5ZXLgAQA!16s%2Fg%2F1tdzch4p?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
Local Bank,Kuala Lumpur,Kepong,"No. 11 & 15, Jalan Rimbunan Raya 1, Laman Rimbunan Raya 1, Laman Rimbunan
52100 Kepong,
Kuala Lumpur","https://www.google.com/maps/place/11,+Jalan+Rimbunan+Raya+1,+Laman+Rimbunan,+52100+Kuala+Lumpur,+Wilayah+Persekutuan+Kuala+Lumpur,+Malaysia/@3.2103682,101.6512649,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4637c264caad:0xb90101199b292346!8m2!3d3.2103682!4d101.6512649?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
